District|Annual Dropout Rate '08|Graduation Rate '08|CMT 2007-08 3rd Grade Math, % At/Above Proficient Level|CMT 2007-08 3rd Grade Reading, % At/Above Proficient Level|CMT 2007-08 3rd Grade Writing, % At/Above Proficient Level|CMT 2007-08 4th Grade Math, % At/Above Proficient Level|CMT 2007-08 4th Grade Reading, % At/Above Proficient Level|CMT 2007-08 4th Grade Writing, % At/Above Proficient Level|CMT 2007-08 5th Grade Math, % At/Above Proficient Level|CMT 2007-08 5th Grade Reading, % At/Above Proficient Level|CMT 2007-08 5th Grade Science, % At/Above Proficient Level|CMT 2007-08 5th Grade Writing, % At/Above Proficient Level|CMT 2007-08 6th Grade Math, % At/Above Proficient Level|CMT 2007-08 6th Grade Reading, % At/Above Proficient Level|CMT 2007-08 6th Grade Writing, % At/Above Proficient Level|CMT 2007-08 7th Grade Math, % At/Above Proficient Level|CMT 2007-08 7th Grade Reading, % At/Above Proficient Level|CMT 2007-08 7th Grade Writing, % At/Above Proficient Level|CMT 2007-08 8th Grade Math, % At/Above Proficient Level|CMT 2007-08 8th Grade Reading, % At/Above Proficient Level|CMT 2007-08 8th Grade Science, % At/Above Proficient Level|CMT 2007-08 8th Grade Writing, % At/Above Proficient Level|CAPT 2007-08 Math, % At/Above Proficient Level|CAPT 2007-08 Reading, % At/Above Proficient Level|CAPT 2007-08 Science, % At/Above Proficient Level|CAPT 2007-08 Writing, % At/Above Proficient Level|SAT - % of Seniors that Tested, 2008|% Students Eligible for Free/Reduced Lunch, 2007-2008|2007-08 % of Revenue, Local|2007-08 % of Revenue, State|2007-08 % of Revenue, Federal|Per Pupil Expenditures 2007-08, Instructional Staff and Services|Per Pupil Expenditures 2007-08, Student Support Services|Per Pupil Expenditures 2007-08, Instructional Supplies and Equipment|Per Pupil Expenditures 2007-08, Plant Operation and Maintenance|Per Pupil Expenditures 2007-08, Administration and Support Services|Per Pupil Expenditures 2007-08, Instruction and Education Media Services|Per Pupil Expenditures 2007-08, Total Expenditures|Percentage of First Year Teachers and Instructors, 2007-08|Percentage of Teachers and Instructors with Highest Level of Education being a PhD, 2007-08|Percentage of Teachers and Instructors with Highest Level of Education being a Masters, 2007-08|Percentage of Teachers and Instructors with Highest Level of Education being a Bachelors, 2007-08|Percentage of Teachers and Instructors with Highest Level of Education being a Sixth Year, 2007-08|Percentage of Teachers and Instructors with No BA/BS, 2007-08|Average Elementary Salary of Teachers and Instructors, 2007-08|Average English/Language Arts Salary of Teachers and Instructors, 2007-08|Average Science Salary of Teachers and Instructors, 2007-08|Average Math Salary of Teachers and Instructors, 2007-08|Percentage of English Language Learners (ELL), 2007-08|Average Kindergarten Class Size, 2007-08|Average Grade 5 Class Size, 2007-08|Average High School Class Size, 2007-08|Percentage of Kindergarteners with Pre-K Experience, 2007-08|Grade 2 Instructional Time in Computer Science, 2007-08|Grade 2 Instructional Time in Math, 2007-08|Grade 2 Instructional Time for in Science, 2007-08|Number of Print Volumes Per Student, 2007-08|Median Gross Rent (Dollars) 1999|Median Value (Dollars) For All Owner-Occupied Housing Units|Per Capita Income 1999|Median HH Income in 1999 for Ower Occupied|Median HH Income in 1999 for Renter Occupied|Total Schools In District
Andover School District|||97.6|78.6|88.1|90.4|80.8|96.2|97.8|91.3|91.3|95.7|90.4|96.2|92.3|||||||||||||56.7|||||||||||10.0|0.0|73.3|26.7|0.0|0.0|52476|||||15.0|15.3||88.4|11|222|92|29.8|544|156500|30273|71098|31563|1
Ansonia School District|1.6|91.4|84.3|57.7|76.4|89.1|69.1|85|86.8|63.7|76.4|85.2|72|64.3|83.5|68|65.5|64.4|69.3|81.5|58.7|74.8|62.5|76.2|72.8|81.8|59.9|48|33.3|59.7|5.6|6371|358|327|903|1281|311|10261|8.0|0.0|51.1|29.3|19.5|0.0|53722|51956|50725|54590|2.9|20.7|20.7|20.8|62.3|14.0|195.0|60.0|12.6|691|139500|20504|54783|30310|6
Ashford School District|||70.2|63.8|76.6|77.1|75|76.6|79.6|70.4|79.6|72.2|91.1|85.7|75|89.8|91.5|86.4|91.4|84.3|92.9|88.6||||||14.2|||||||||||8.7|0.0|76.1|23.9|0.0|0.0|50477|36889|48855|49959|1.0|11.7|17.0||62.9|9.0|180.0|54.0|20.8|657|140000|26104|60250|30179|1
Avon School District|0.4|98.8|90.8|87.7|95.1|96.3|89.3|96.3|94.5|91.6|94.5|98.5|96.5|95.8|96.5|96.5|96.5|97.2|95.4|94.7|97.1|96.7|95.6|95.6|97.1|95.9|93.5|2.7|92.9|5.2|1.2|6532|1190|175|1187|941|241|11130|2.5|2.1|52.7|7.4|37.9|0.0|71552|73836|76331|72189|1.4|15.9|23.2|17.9|80.6|21.0|180.0|69.0|20.5|955|241400|51706|97396|47135|4
Barkhamsted School District|||94.6|82.1|91.1|90.9|79.5|90.9|93.9|87.9|97|93.9|89.1|91.3|93.5|||||||||||||4.7|||||||||||0.0|0.0|85.2|11.1|3.7|0.0|67809||||0.3|17.0|16.5||88.2|18.0|139.0|90.0|46.5|695|163800|28961|70987|39643|1
Berlin School District|2.1|91.8|90.7|82.3|91.6|90.6|85.9|96.1|91.4|88.8|93.2|94.4|92.9|92.9|96.3|92.2|91.4|94.5|89.9|87.7|89.9|90.3|92.7|92.3|93.1|96.1|71.1|6.2|80.1|18.1|1.7|6343|1036|278|1465|1289|309|11722|2.1|0.9|73.6|20.9|4.7|0.0|62154|61453|58517|60701|2.3|17.5|21.4|20.1|89.5||189.0|52.0|24.1|708|169100|27744|71652|32885|5
Bethany School District|||93.9|75.6|97.6|88.5|80.8|89.7|88.8|74.2|95.5|88.8|91|89.9|86.5|||||||||||||2.8|||||||||||4.3|0.0|71.7|17.4|10.9|0.0|48570|||||17.8|21.5||89.9|24.0|180.0|40.0|27.0|793|223200|31403|77851|46875|1
Bethel School District|0.4|99.6|93.6|85.9|90.5|94|82.2|93.6|92.9|80.8|93.9|94.8|94.8|85.6|88.4|92.8|89|89.9|93.6|91.6|88.8|93.6|90.2|90.5|89.9|94.6|81.2|8.3|76.1|22.4|1.4|7051|885|171|1245|1296|908|12849|4.4|0.4|56.5|30.6|12.5|0.0|56681|52469|66196|59631|3.8|15.8|21.6|20.3|72.8|21.0|181.0|80.0|28.5|877|216400|28927|77804|40313|6
Bloomfield School District|1.3|87.7|80.7|60.2|85.4|82.7|63.7|90.5|68.4|55.4|65.5|84.1|80.8|64.3|73.2|66.4|55.7|68|59.3|62.1|50.3|79.9|53.1|69.8|62.4|79.6|80.5|39.9|78.4|18.1|2.8|8800|1382|603|2198|2726|306|15258|5.4|0.5|59.1|33.5|6.4|0.5|57912|58529|55048|57247|0.4|15.3|17.3|19.9|85.4|18.0|198.0|52.0|37.4|830|133300|28843|62629|34179|5
Bolton School District|0.7|98.4|93.1|84.2|93.1|98.6|91.8|94.5|91|82.1|97|92.5|95.7|94.7|90.3|88|86.7|84.3|96.8|96.8|96.8|95.2|98.5|95.5|98.5|100|84.4|5.8|67.8|28.8|1.6|7936|906|183|1276|1524|604|13575|2.6|0.0|77.9|22.1|0.0|0.0|58645|57745|61057|53061||12.3|16.8|13.0|83.8|24.0|185.0|90.0|36.9|674|174200|29205|73708|39219|2
